Fatura no;Fatura Ýçeriði
VL52021113001813;ÝÞ FULL 100 - TAAHHÜTSÜZ - 2662465109 (ARALIK 2021)
VL52021113001813;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462752 (KASIM 2021)(GSM:33% SA:21% SI:28% TN:4% DO:15% )
C012021000283014;TELEFON
BTE2021000004363;SISTEM DESTEK HIZMET BEDELI
BTE2021000004371;SISTEM DESTEK HIZMET BEDELI
WK02021000000189;STANDART CLOUD WEB HOSTÝNG PAKETÝ - BEKKÝGROUP.COM
WK02021000000189;KURUMSAL CLOUD WEB HOSTÝNG PAKETÝ - BEKSAN.COM
WK02021000000189;SSL GÜVENLÝK SERTÝFÝKASI + SABÝT IP + KURULUM - BEKSAN.COM
WK02021000000189;GÜVENLÝK GÜNCELLEMELERÝ, PROFESYONEL YEDEKLEME, BAKIM, MAÝL HESAPLARI VE YILLIK DESTEK HÝZMET BEDELÝ (MAKS.12 TALEP/SAAT/YIL) - BEKSAN.COM
WK02021000000189;ALAN ADI YENÝLEME - BEKKÝGROUP.COM - 1 YIL
WK02021000000189;ALAN ADI YENÝLEME - BEKSAN.COM - 1 YIL
WK02021000000188;KURUMSAL CLOUD WEB HOSTÝNG PAKETÝ - BEKKÝLER.COM
WK02021000000188;PROFESYONEL SSL GÜVENLÝK SERTÝFÝKASI + SABÝT IP + KURULUM - BEKKÝLER.COM
WK02021000000188;GÜVENLÝK GÜNCELLEMELERÝ, PROFESYONEL YEDEKLEME, BAKIM, MAÝL HESAPLARI VE YILLIK DESTEK HÝZMET BEDELÝ (MAKS.12 TALEP/SAAT/YIL) - BEKKÝLER.COM
WK02021000000188;ALAN ADI YENÝLEME - BEKKÝLER.COM - 1 YIL
VTN2021000398274;PANASONIC KX TEL-BEYAZ
YFR2021000001790;AYLIK TELEFON DESTEK HÝZMETÝ
YFR2021000001794;AYLIK TELEFON DESTEK HÝZMETÝ
ANE2021000002411;TEKNOGREEN  305M CAT6 0.57MM CCA KABLO GRÝ
BTE2021000004609;MICROSOFT AZURE
BTE2021000004593;SISTEM DESTEK HIZMET BEDELI
YFR2021000001826;NETSÝS 3 STANDARD LEM PAKETÝ
YFR2021000001826;AYLIK TELEFON DESTEK HÝZMETÝ
YFR2021000001827;NETSÝS 3 STANDARD LEM PAKETÝ
VTN2021000423595;KÝOXÝA 240GB EXCERÝA SERÝSÝ SATA 3.0 SSD 
ANE2021000002502;CLASS 40X40X20 12V FAN
ANE2021000002502;POWERMASTER 4LÜ USB 2.0 ÇOKLAYICI 
VTN2021000432952;KÝOXÝA 240GB EXCERÝA SSD
VTN2021000432952;LOGITECH M171 MOUSE
VTN2021000432951;TCL TAB 10S 
VTN2021000432968;"TCL TAB 10S WÝFÝ 9081X MTK MT8768 -1.5GHZ-3GB-32GB-BT-10.1""'"
VTN2021000432969;KÝOXÝA 240GB EXCERÝA SERÝSÝ SATA 3.0 SSD
01S2021000757592;MPLSVPN HÝZMETLERÝ (%18 KDV + %10 OIV )
01S2021000757592;DATA SERVÝSLERÝ (%18 KDV + %10 OIV )
01S2021000757592;OFÝS GÜVENLÝK DUVARI (%18 KDV )
01S2021000757592;UZAKTAN YEDEKLEME (%18 KDV )
01S2021000757592;SANAL VERÝ MERKEZÝ (%18 KDV )
01S2021000757592;GECÝKME FAÝZÝ (%18 KDV + %10 OIV )
A162021003719442;DSL(ÝNTERNET)
A162021003706667;DSL(ÝNTERNET)
YFR2021000001915;PROJE VE DANIÞMANLIK HÝZMETÝ
01S2021000793206;MPLSVPN HÝZMETLERÝ (%18 KDV + %10 OIV )
01S2021000793206;DATA SERVÝSLERÝ (%18 KDV + %10 OIV )
01S2021000793206;OFÝS GÜVENLÝK DUVARI (%18 KDV )
01S2021000793206;UZAKTAN YEDEKLEME (%18 KDV )
01S2021000793206;SANAL VERÝ MERKEZÝ (%18 KDV )
01S2021000793206;GECÝKME FAÝZÝ (%18 KDV )
A162021003915606;DSL(ÝNTERNET)
A162021003928011;DSL(ÝNTERNET)
VM62021123101751;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662461426 (ARALIK 2021)(GSM:17% SA:21% SI:48% TN:5% TO:1% DO:9% )
VM62021123101751;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465109 (ARALIK 2021)
VM62021123101751;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462750 (ARALIK 2021)(GSM:21% SA:25% SI:50% TN:1% DO:4% )
VM62021123101751;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462755 (ARALIK 2021)
VM62021123101751;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460409 (ARALIK 2021)(GSM:22% SA:16% SI:48% TN:4% DO:10% )
VM62021123101751;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462751 (ARALIK 2021)(GSM:27% SA:22% SI:42% TN:1% TO:5% DO:4% )
VM62021123101751;ÝÞ FULL 100 - TAAHHÜTSÜZ - 2662465109 (OCAK 2022)
VM62021123101751;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462752 (ARALIK 2021)(GSM:19% SA:18% SI:47% TN:3% TO:1% DO:11% )
VM62021123101751;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460518 (ARALIK 2021)(GSM:19% SA:25% SI:43% TN:1% DO:11% )
VM62021123101751;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465108 (ARALIK 2021)(GSM:24% SA:16% SI:56% TN:1% DO:4% )
VM62021123101751;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662463513 (ARALIK 2021)(GSM:12% SA:19% SI:57% TN:2% DO:9% )
C012021000396367;TELEFON
BTE2022000000035;SISTEM DESTEK HIZMET BEDELI
BTE2022000000043;SISTEM DESTEK HIZMET BEDELI
BTE2022000000100;EXCHANGE ONLÝNE (PLAN 1)
ANE2022000000034;CLASS LK 61 CAT6 KABLO-305MT
ANE2022000000047;POWERMASTER PWR-525 TERMAL MACUN 
ANE2022000000047;200ML FULLY SPREY (YAÐLI)
VTN2022000007966;LG 23,8'' 24ML600M-B ÇÝFT HDMI, IPS, FULL HD, ÝNCE ÇERÇEVELÝ TASARIM MONÝTÖRÜ
VTN2022000007966;LOGITECH M220 SESSIZ MOUSE CHARCOAL
VTN2022000007966;LOGITECH M220 SESSIZ MOUSE CHARCOAL
ANE2022000000066;RJ45 CAT6 SOKET
ANE2022000000065;DISPLAYPORT TO HDMI CABLE 1.8MT / 15436
VTN2022000012024;LOGITECH M190 MOUSE KOZAK CHARCOAL
YFR2022000000137;AYLIK TELEFON DESTEK HÝZMETÝ
YFR2022000000132;AYLIK TELEFON DESTEK HÝZMETÝ
YFR2022000000019;PROJE VE DANIÞMANLIK HÝZMETÝ
VTN2022000021670;KÝOXÝA 240GB EXCERÝA SERÝSÝ SATA 3.0 SSD (555MB OKUMA / 540MB YAZMA)
VTN2022000021670;KÝOXÝA 240GB EXCERÝA SERÝSÝ SATA 3.0 SSD (555MB OKUMA / 540MB YAZMA)
BTE2022000000254;MICROSOFT AZURE
BIL2022000000019;DÝSPLAY-VGA DÖNÜÞTÜRÜCÜ
01S2021000757592;GECÝKME FAÝZÝ (%18 KDV )
01S2022000076621;MPLSVPN HÝZMETLERÝ (%18 KDV + %10 OIV )
01S2022000076621;DATA SERVÝSLERÝ (%18 KDV + %10 OIV )
01S2022000076621;OFÝS GÜVENLÝK DUVARI (%18 KDV )
01S2022000076621;UZAKTAN YEDEKLEME (%18 KDV )
01S2022000076621;SANAL VERÝ MERKEZÝ (%18 KDV )
A162022000368983;DSL(ÝNTERNET)
A162022000132958;DSL(ÝNTERNET)
01S2022000012043;MPLSVPN HÝZMETLERÝ (%18 KDV + %10 OIV )
01S2022000012043;DATA SERVÝSLERÝ (%18 KDV + %10 OIV )
01S2022000012043;OFÝS GÜVENLÝK DUVARI (%18 KDV )
01S2022000012043;UZAKTAN YEDEKLEME (%18 KDV )
01S2022000012043;ENTERPRÝSE WÝFÝ SERVÝSÝ (AP) (%18 KDV )
VTN2022000041157;TP-LINK TL-SF1008D 10/100 8 PORT SWITCH
A162022000252913;DSL(ÝNTERNET)
A162022000023299;DSL(ÝNTERNET)
WB62022013102516;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465108 (OCAK 2022)(GSM:14% SA:8% SI:68% TN:3% TO:4% DO:3% )
WB62022013102516;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662463513 (OCAK 2022)(GSM:12% SA:18% SI:53% TN:7% DO:10% )
WB62022013102516;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462751 (OCAK 2022)(GSM:8% SA:15% SI:60% TN:4% DO:13% )
WB62022013102516;ÝÞ FULL 100 - TAAHHÜTSÜZ - 2662465109 (ÞUBAT 2022)
WB62022013102516;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462752 (OCAK 2022)(GSM:16% SA:15% SI:57% TN:6% DO:7% )
WB62022013102516;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662461426 (OCAK 2022)(GSM:13% SA:10% SI:61% TN:2% DO:13% )
WB62022013102516;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465109 (OCAK 2022)
WB62022013102516;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462755 (OCAK 2022)
WB62022013102516;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460409 (OCAK 2022)(GSM:12% SA:21% SI:55% TN:2% TO:2% DO:9% )
WB62022013102516;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460518 (OCAK 2022)(GSM:7% SA:10% SI:77% TN:3% DO:4% )
WB62022013102516;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462750 (OCAK 2022)(GSM:16% SA:16% SI:56% TN:8% DO:5% )
WB62022013102516;ÝSKONTO
C012022000100804;TELEFON
BTE2022000000436;SISTEM DESTEK HIZMET BEDELI
BTE2022000000444;SISTEM DESTEK HIZMET BEDELI
VTN2022000043389;LOGITECH MK120 KABLOLU KLAVYE MOUSE SET
YFR2022000000261;AYLIK TELEFON DESTEK HÝZMETÝ
YFR2022000000257;AYLIK TELEFON DESTEK HÝZMETÝ
BTE2022000000733;LENOVO P17 I7-11800H/2X16G/512 GB SSD/RTX A3000/17.3”/W10PRO
BTE2022000000748;LENOVO P17 I7-11800H/512 GB SSD//17.3”/W10PRO 
01S2022000126745;MPLSVPN HÝZMETLERÝ (%18 KDV + %10 OIV )
01S2022000126745;DATA SERVÝSLERÝ (%18 KDV + %10 OIV )
01S2022000126745;OFÝS GÜVENLÝK DUVARI (%18 KDV )
01S2022000126745;UZAKTAN YEDEKLEME (%18 KDV )
01S2022000126745;SANAL VERÝ MERKEZÝ (%18 KDV )
A162022000554297;DSL(ÝNTERNET)
A162022000464008;DSL(ÝNTERNET)
01S2022000012043;SANAL VERÝ MERKEZÝ (%18 KDV )
01S2022000087656;MPLSVPN HÝZMETLERÝ (%18 KDV + %10 OIV )
01S2022000087656;DATA SERVÝSLERÝ (%18 KDV + %10 OIV )
01S2022000087656;OFÝS GÜVENLÝK DUVARI (%18 KDV )
01S2022000087656;UZAKTAN YEDEKLEME (%18 KDV )
01S2022000087656;ENTERPRÝSE WÝFÝ SERVÝSÝ (AP) (%18 KDV )
01S2022000087656;KATMA DEÐERLÝ SERVÝSLER (%18 KDV )
01S2022000087656;SANAL VERÝ MERKEZÝ (%18 KDV )
ANE2022000000421;POWERMASTER HDMI CABLE 15MT / 18942
A162022000675600;DSL(ÝNTERNET)
A162022000555130;DSL(ÝNTERNET)
WC32022022802011;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460409 (ÞUBAT 2022)(GSM:15% SA:11% SI:65% TN:2% TO:1% DO:6% )
WC32022022802011;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465108 (ÞUBAT 2022)(GSM:25% SA:19% SI:30% TN:9% TO:14% DO:3% )
WC32022022802011;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460518 (ÞUBAT 2022)(GSM:11% SA:18% SI:58% TN:3% DO:11% )
WC32022022802011;ÝÞ FULL 100 - TAAHHÜTSÜZ - 2662465109 (MART 2022)
WC32022022802011;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462750 (ÞUBAT 2022)(GSM:17% SA:24% SI:50% TN:3% DO:5% )
WC32022022802011;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462755 (ÞUBAT 2022)
WC32022022802011;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462751 (ÞUBAT 2022)(GSM:9% SA:18% SI:69% TO:1% DO:4% )
WC32022022802011;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662461426 (ÞUBAT 2022)(GSM:13% SA:13% SI:64% TN:3% DO:7% )
WC32022022802011;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462752 (ÞUBAT 2022)(GSM:15% SA:25% SI:53% TN:2% DO:5% )
WC32022022802011;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465109 (ÞUBAT 2022)
WC32022022802011;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662463513 (ÞUBAT 2022)(GSM:29% SA:15% SI:49% TN:5% DO:2% )
C012022000313183;TELEFON
BTE2022000000833;SISTEM DESTEK HIZMET BEDELI
BTE2022000000841;SISTEM DESTEK HIZMET BEDELI
BTE2022000000890;LENOVO P340 I7-10700K/2X16/512GB SSD/W10P/P2200
BTE2022000000890;KÝNGSTON 16GB 3200MHZ DDR4 KVR32N22D8/16
BTE2022000000890;"DELL 23.8"" 1920X1080 12MS 75HZ HDMI/VGA SIYAH"
YFR2022000000297;PROJE VE DANIÞMANLIK HÝZMETÝ
YFR2022000000427;AYLIK TELEFON DESTEK HÝZMETÝ
YFR2022000000423;AYLIK TELEFON DESTEK HÝZMETÝ
01S2022000223609;MPLSVPN HÝZMETLERÝ (%18 KDV + %10 OIV )
01S2022000223609;DATA SERVÝSLERÝ (%18 KDV + %10 OIV )
01S2022000223609;OFÝS GÜVENLÝK DUVARI (%18 KDV )
01S2022000223609;UZAKTAN YEDEKLEME (%18 KDV )
01S2022000223609;SANAL VERÝ MERKEZÝ (%18 KDV )
A162022000867120;DSL(ÝNTERNET)
A162022000863271;DSL(ÝNTERNET)
01S2022000190054;MPLSVPN HÝZMETLERÝ (%18 KDV + %10 OIV )
01S2022000190054;DATA SERVÝSLERÝ (%18 KDV + %10 OIV )
01S2022000190054;OFÝS GÜVENLÝK DUVARI (%18 KDV )
01S2022000190054;UZAKTAN YEDEKLEME (%18 KDV )
01S2022000190054;ENTERPRÝSE WÝFÝ SERVÝSÝ (AP) (%18 KDV )
01S2022000190054;KATMA DEÐERLÝ SERVÝSLER (%18 KDV )
01S2022000190054;SANAL VERÝ MERKEZÝ (%18 KDV )
A162022001014639;DSL(ÝNTERNET)
A162022000878278;DSL(ÝNTERNET)
WD62022033101473;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465109 (MART 2022)
WD62022033101473;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662463513 (MART 2022)(GSM:8% SA:21% SI:57% TN:1% DO:13% )
WD62022033101473;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462750 (MART 2022)(GSM:14% SA:14% SI:62% TN:8% DO:2% )
WD62022033101473;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662461426 (MART 2022)(GSM:22% SA:19% SI:41% TN:1% TO:1% DO:15% )
WD62022033101473;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462752 (MART 2022)(GSM:22% SA:18% SI:38% TN:10% DO:12% )
WD62022033101473;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465108 (MART 2022)(GSM:8% SA:32% SI:38% TN:1% DO:21% )
WD62022033101473;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460409 (MART 2022)(GSM:19% SA:24% SI:44% TN:6% DO:7% )
WD62022033101473;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462755 (MART 2022)
WD62022033101473;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462751 (MART 2022)(GSM:13% SA:19% SI:51% TN:7% DO:10% )
WD62022033101473;ÝÞ FULL 100 - TAAHHÜTSÜZ - 2662465109 (NÝSAN 2022)
WD62022033101473;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460518 (MART 2022)(GSM:14% SA:18% SI:37% TN:3% DO:27% )
C012022000532842;TELEFON
BTE2022000001274;SISTEM DESTEK HIZMET BEDELI
BTE2022000001282;SISTEM DESTEK HIZMET BEDELI
ANE2022000000686;MAGICVOICE 1+1 USB MÝNÝ HOPARLÖR
VTN2022000138456;EVEREST DLK-3100U Q  KLAVYE
VTN2022000138456;LENOVO C24-25 23.8'' 75HZ MONÝTÖR
VTN2022000138456;LENOVO L22E-30 21.5'' 75HZ MONÝTÖR
ANE2022000000759;ÜÇLÜ GOLYAT TOPRAKLI FÝÞ PRÝZ
ANE2022000000759;GESÝ HDMI-HDMI
YFR2022000000495;PROJE VE DANIÞMANLIK HÝZMETÝ
YFR2022000000480;PROJE VE DANIÞMANLIK HÝZMETÝ
BTE2022000001552;KUR FARKI
BIL2022000000133;GÝGASET A170 TELSÝZ TELEFON
YFR2022000000505;NETSÝS 3 STANDARD NETOPENX RUNTIME (L)
YFR2022000000617;AYLIK TELEFON DESTEK HÝZMETÝ
YFR2022000000613;AYLIK TELEFON DESTEK HÝZMETÝ
01S2022000270273;MPLSVPN HÝZMETLERÝ (%18 KDV + %10 OIV )
01S2022000270273;DATA SERVÝSLERÝ (%18 KDV + %10 OIV )
01S2022000270273;OFÝS GÜVENLÝK DUVARI (%18 KDV )
01S2022000270273;UZAKTAN YEDEKLEME (%18 KDV )
01S2022000270273;SANAL VERÝ MERKEZÝ (%18 KDV )
A162022001454969;DSL(ÝNTERNET)
A162022001439298;DSL(ÝNTERNET)
01S2022000316964;MPLSVPN HÝZMETLERÝ (%18 KDV + %10 OIV )
01S2022000316964;DATA SERVÝSLERÝ (%18 KDV + %10 OIV )
01S2022000316964;OFÝS GÜVENLÝK DUVARI (%18 KDV )
01S2022000316964;UZAKTAN YEDEKLEME (%18 KDV )
01S2022000316964;ENTERPRÝSE WÝFÝ SERVÝSÝ (AP) (%18 KDV )
01S2022000316964;KATMA DEÐERLÝ SERVÝSLER (%18 KDV )
01S2022000316964;SANAL VERÝ MERKEZÝ (%18 KDV )
A162022001549825;DSL(ÝNTERNET)
A162022001460878;DSL(ÝNTERNET)
WE52022043001157;ÝÞ FULL 100 - TAAHHÜTSÜZ - 2662465109 (MAYIS 2022)
WE52022043001157;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462752 (NÝSAN 2022)(GSM:11% SA:19% SI:57% TN:5% DO:9% )
WE52022043001157;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465109 (NÝSAN 2022)
WE52022043001157;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460518 (NÝSAN 2022)(GSM:30% SA:22% SI:41% TN:1% DO:6% )
WE52022043001157;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462751 (NÝSAN 2022)(GSM:21% SA:27% SI:37% TN:4% TO:2% DO:10% )
WE52022043001157;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462755 (NÝSAN 2022)
WE52022043001157;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662463513 (NÝSAN 2022)(GSM:18% SA:9% SI:55% TN:2% DO:16% )
WE52022043001157;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460409 (NÝSAN 2022)(GSM:20% SA:19% SI:45% TN:10% DO:7% )
WE52022043001157;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462750 (NÝSAN 2022)(GSM:22% SA:15% SI:46% TN:2% DO:15% )
WE52022043001157;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662461426 (NÝSAN 2022)(GSM:15% SA:8% SI:63% TN:3% TO:2% DO:9% )
WE52022043001157;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465108 (NÝSAN 2022)(GSM:32% SA:22% SI:43% TN:2% DO:1% )
C012022000751070;TELEFON
BTE2022000001685;SISTEM DESTEK HIZMET BEDELI
BTE2022000001693;SISTEM DESTEK HIZMET BEDELI
VTN2022000164301;KÝOXÝA 240GB SSD
VTN2022000174718;LENOVO C24-25 23.8'' 75HZ MONÝTÖR
VTN2022000174718;"SAMSUNG 24"" LF24T450FQRXUF 75HZ MONÝTÖR"
ANE2022000000924;EVEREST KB-517U SÝYAH KLAVYE
ANE2022000000924;HADRON HD5605 MOUSE
YFR2022000000641;NETSÝS 3 STANDARD E-DEFTER FÝRMA ARTIRIMI (L)
ANE2022000000938;DISPLAYPORT TO HDMI CABLE 1.8MT 
YFR2022000000646;PROJE VE DANIÞMANLIK HÝZMETÝ
YFR2022000000656;PROJE VE DANIÞMANLIK HÝZMETÝ
AAA2022000000006;HP 505XL TONER    
YFR2022000000759;AYLIK TELEFON DESTEK HÝZMETÝ
YFR2022000000755;AYLIK TELEFON DESTEK HÝZMETÝ
ANE2022000001042;CLASS MS 6812 KABLO ÝZLEYÝCÝ
ANE2022000001042;KINGSDUN KS 8846 ÝRTÝBATLAMA ALETÝ
ANE2022000001042;PHILIPS SPK7104 MOUSE 
01S2022000403095;MPLSVPN HÝZMETLERÝ (%18 KDV + %10 OIV )
01S2022000403095;DATA SERVÝSLERÝ (%18 KDV + %10 OIV )
01S2022000403095;OFÝS GÜVENLÝK DUVARI (%18 KDV )
01S2022000403095;UZAKTAN YEDEKLEME (%18 KDV )
01S2022000403095;SANAL VERÝ MERKEZÝ (%18 KDV )
A162022001647641;DSL(ÝNTERNET)
A162022001756564;DSL(ÝNTERNET)
01S2022000361225;MPLSVPN HÝZMETLERÝ (%18 KDV + %10 OIV )
01S2022000361225;DATA SERVÝSLERÝ (%18 KDV + %10 OIV )
01S2022000361225;OFÝS GÜVENLÝK DUVARI (%18 KDV )
01S2022000361225;UZAKTAN YEDEKLEME (%18 KDV )
01S2022000361225;ENTERPRÝSE WÝFÝ SERVÝSÝ (AP) (%18 KDV )
01S2022000361225;KATMA DEÐERLÝ SERVÝSLER (%18 KDV )
01S2022000361225;SANAL VERÝ MERKEZÝ (%18 KDV )
A162022001672821;DSL(ÝNTERNET)
A162022001951149;DSL(ÝNTERNET)
WF62022053101587;ÝÞ FULL 100 - TAAHHÜTSÜZ - 2662465109 (HAZÝRAN 2022)
WF62022053101587;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460409 (MAYIS 2022)(GSM:26% SA:17% SI:41% TN:2% DO:14% )
WF62022053101587;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460518 (MAYIS 2022)(GSM:32% SA:13% SI:43% TN:3% DO:9% )
WF62022053101587;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662461426 (MAYIS 2022)(GSM:19% SA:22% SI:49% TN:5% DO:5% )
WF62022053101587;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462750 (MAYIS 2022)(GSM:19% SA:26% SI:42% TN:2% DO:11% )
WF62022053101587;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462751 (MAYIS 2022)(GSM:13% SA:11% SI:66% TN:3% DO:7% )
WF62022053101587;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462752 (MAYIS 2022)(GSM:21% SA:10% SI:60% TN:4% DO:6% )
WF62022053101587;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462755 (MAYIS 2022)
WF62022053101587;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662463513 (MAYIS 2022)(GSM:35% SA:22% SI:32% TN:3% DO:8% )
WF62022053101587;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465108 (MAYIS 2022)(GSM:13% SA:13% SI:56% TN:4% DO:14% )
WF62022053101587;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465109 (MAYIS 2022)
C012022000967987;TELEFON
BTE2022000002034;SISTEM DESTEK HIZMET BEDELI
BTE2022000002042;SISTEM DESTEK HIZMET BEDELI
AAA2022000000021;HP FUSER ASSEMBLY 220V LASERJET P2035/P2055(FIRIN ÜNÝTESÝ)    
AAA2022000000021;PANTUM2500W YAZICI   
AAA2022000000026;CANON FUSER FÝLÝM
AAA2022000000026;CANON MF 231 PRESS ROLLER   
VTN2022000207317;LOGITECH M185 MOUSE RED
VTN2022000207317;LOGITECH M185 MOUSE RED
VTN2022000214432;LOGITECH M100 KABLOLU MOUSE BLACK
YFR2022000000849;PROJE VE DANIÞMANLIK HÝZMETÝ
YFR2022000000858;PROJE VE DANIÞMANLIK HÝZMETÝ
YFR2022000000962;AYLIK TELEFON DESTEK HÝZMETÝ
YFR2022000000958;AYLIK TELEFON DESTEK HÝZMETÝ
AAA2022000000041;CANON MF445 DW LAZER YAZICI
AAA2022000000041;CANON 057H MUADÝL TONER
AAA2022000000044;HP 505X MUADÝL TONER
BTM2022000000812; AP ZYXEL NWA55AXE-EU0102F
01S2022000465366;MPLSVPN HÝZMETLERÝ (%18 KDV + %10 OIV )
01S2022000465366;DATA SERVÝSLERÝ (%18 KDV + %10 OIV )
01S2022000465366;OFÝS GÜVENLÝK DUVARI (%18 KDV )
01S2022000465366;UZAKTAN YEDEKLEME (%18 KDV )
01S2022000465366;SANAL VERÝ MERKEZÝ (%18 KDV )
A162022002191729;DSL(ÝNTERNET)
A162022002162018;DSL(ÝNTERNET)
01S2022000515384;MPLSVPN HÝZMETLERÝ (%18 KDV + %10 OIV )
01S2022000515384;DATA SERVÝSLERÝ (%18 KDV + %10 OIV )
01S2022000515384;OFÝS GÜVENLÝK DUVARI (%18 KDV )
01S2022000515384;UZAKTAN YEDEKLEME (%18 KDV )
01S2022000515384;ENTERPRÝSE WÝFÝ SERVÝSÝ (AP) (%18 KDV )
01S2022000515384;KATMA DEÐERLÝ SERVÝSLER (%18 KDV )
01S2022000515384;SANAL VERÝ MERKEZÝ (%18 KDV )
A162022002339130;DSL(ÝNTERNET)
A162022002355889;DSL(ÝNTERNET)
WG52022063001134;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462751 (HAZÝRAN 2022)(GSM:17% SA:18% SI:49% TN:2% DO:14% )
WG52022063001134;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462755 (HAZÝRAN 2022)
WG52022063001134;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460518 (HAZÝRAN 2022)(GSM:22% SA:20% SI:43% DO:15% )
