Şirket;Tarih;Fatura no;Fatura içeriği;Gider sınıfı;Firma;Adet;Brim Fiyat;KDV Tutarı;OIV Tutarı;Ödenecek Tutar;Kur;Birim Fiyat Dolar;KDV Dolar
Beksan;04.01.2021;BTE2021000000040;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;400,00;72,00;0,00;472,00;0,00;0,00;0,00
Bekkiler;04.01.2021;BTE2021000000050;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;450,00;81,00;0,00;531,00;0,00;0,00;0,00
Bekkiler;07.01.2021;VTN2021000008214;HP 103A 2500 SAYFA KAPASİTELİ SİYAH TONER (W1103A );YAZICI G.;VATAN BİLGİSAYAR;1,00;100,00;18,00;0,00;118,00;0,00;0,00;0,00
Beksan;18.01.2021;BTE2021000000286;MICROSOFT AZURE;YAZILIM LİSANS G.;BTE BİLGİSAYAR YAZ. DON.;1,00;350,22;63,04;0,00;413,26;0,00;0,00;0,00
Bekkiler;21.01.2021;VTN2021000026427;HP HP001GBBLK5TW HDMI TO HDMI CABLE- 5M;DONANIM G.;VATAN BİLGİSAYAR;1,00;83,82;15,09;0,00;98,91;0,00;0,00;0,00
Bekkiler;21.01.2021;VTN2021000026427;GOLDMASTER CAB-186 1.5 M HDMI KABLO-SİYAH;DONANIM G.;VATAN BİLGİSAYAR;1,00;25,31;4,56;0,00;29,87;0,00;0,00;0,00
Bekkiler;21.01.2021;VTN2021000026427;S-LINK SL-DS560 DISPLAY DEN HDMI KABLO 1.8M;DONANIM G.;VATAN BİLGİSAYAR;1,00;81,55;14,68;0,00;96,23;0,00;0,00;0,00
Beksan;29.01.2021;VTN2021000037180;FRISBY- HARDDISK YUVASI;DONANIM G.;VATAN BİLGİSAYAR;2,00;45,85;16,51;0,00;108,21;0,00;0,00;0,00
Beksan;29.01.2021;VTN2021000037180;KİNGSTON 240GB HYPERX SSD;DONANIM G.;VATAN BİLGİSAYAR;2,00;260,93;93,93;0,00;615,79;0,00;0,00;0,00
Beksan;31.01.2021;A162021000189856;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;229,29;41,27;17,20;287,76;0,00;0,00;0,00
Beksan;31.01.2021;A162021000140416;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;103,39;18,61;7,75;129,75;0,00;0,00;0,00
Bekkiler;31.01.2021;A162021000195869;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;119,32;21,48;8,95;149,75;0,00;0,00;0,00
Bekkiler;31.01.2021;A162021000062469;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;103,39;18,61;7,75;129,75;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462751 (OCAK 2021)(GSM:29% SA:6% SI:55% DO:10% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Beksan;31.01.2021;K012021000010570;TELEFON;SABIT HAT;TURKTELEKOM;1,00;505,58;91,00;37,92;634,50;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662465108 (OCAK 2021)(GSM:32% SA:18% SI:48% TN:1% DO:2% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662463513 (OCAK 2021)(GSM:21% SA:13% SI:59% TO:2% DO:4% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462750 (OCAK 2021)(GSM:18% SA:30% SI:46% TO:2% DO:5% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662460518 (OCAK 2021)(GSM:25% SA:7% SI:60% DO:8% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462755 (OCAK 2021);SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462752 (OCAK 2021)(GSM:27% SA:9% SI:54% TN:2% DO:8% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662460409 (OCAK 2021)(GSM:21% SA:20% SI:50% TN:2% DO:8% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662461426 (OCAK 2021)(SI:86% DO:14% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662465109 (OCAK 2021);SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İSKONTO;SABIT HAT;TURKNET;1,00;-38,30;-6,89;-3,83;-49,02;0,00;0,00;0,00
Beksan;01.02.2021;BTE2021000000465;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;400,00;72,00;0,00;472,00;0,00;0,00;0,00
Bekkiler;01.02.2021;BTE2021000000477;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;450,00;81,00;0,00;531,00;0,00;0,00;0,00
Bekkiler;08.02.2021;BIL2021000000031;KAREL TM145 TELEFON;DONANIM G.;BİLSAM BÜRO MAKİNELERİ;3,00;118,65;64,07;0,00;420,02;0,00;0,00;0,00
Beksan;24.02.2021;BTE2021000000805;MICROSOFT AZURE;YAZILIM LİSANS G.;BTE BİLGİSAYAR YAZ. DON.;1,00;333,04;59,95;0,00;392,99;0,00;0,00;0,00
Beksan;28.02.2021;A162021000476991;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;229,10;41,24;22,91;293,25;0,00;0,00;0,00
Beksan;28.02.2021;A162021000420610;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;31,84;5,73;3,18;40,75;0,00;0,00;0,00
Bekkiler;28.02.2021;A162021000471839;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;118,75;21,38;11,88;152,00;0,00;0,00;0,00
Bekkiler;28.02.2021;A162021000349255;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;102,93;18,53;10,29;131,75;0,00;0,00;0,00
Bekkiler;28.02.2021;VC32021022802192;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462751 (ŞUBAT 2021)(GSM:35% SA:10% SI:48% TN:1% DO:6% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;28.02.2021;VC32021022802192;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662460518 (ŞUBAT 2021)(GSM:34% SA:14% SI:46% TN:1% DO:5% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;28.02.2021;VC32021022802192;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462750 (ŞUBAT 2021)(GSM:26% SA:20% SI:50% TO:2% DO:2% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;28.02.2021;VC32021022802192;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662461426 (ŞUBAT 2021)(SA:100% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;28.02.2021;VC32021022802192;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462752 (ŞUBAT 2021)(GSM:36% SA:11% SI:51% DO:2% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;28.02.2021;VC32021022802192;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662463513 (ŞUBAT 2021)(GSM:23% SA:10% SI:56% TO:8% DO:5% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;28.02.2021;VC32021022802192;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462755 (ŞUBAT 2021);SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;28.02.2021;VC32021022802192;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662465109 (ŞUBAT 2021);SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;28.02.2021;VC32021022802192;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662465108 (ŞUBAT 2021)(GSM:32% SA:11% SI:52% TN:2% DO:2% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;28.02.2021;VC32021022802192;İSKONTO;SABIT HAT;TURKNET;1,00;-34,47;-6,20;-3,45;-44,12;0,00;0,00;0,00
Beksan;28.02.2021;K012021000280025;TELEFON;SABIT HAT;TURKTELEKOM;1,00;505,58;91,00;50,56;647,14;0,00;0,00;0,00
Beksan;01.03.2021;BTE2021000000898;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;400,00;72,00;0,00;472,00;0,00;0,00;0,00
Bekkiler;01.03.2021;BTE2021000000908;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;450,00;81,00;0,00;531,00;0,00;0,00;0,00
Bekkiler;09.03.2021;BIL2021000000074;KAREL TM145 TELEFON;DONANIM G.;BİLSAM BÜRO MAKİNELERİ;1,00;127,12;22,88;0,00;150,00;0,00;0,00;0,00
Bekkiler;11.03.2021;VTN2021000087357;HP 103A 2500 SAYFA KAPASİTELİ SİYAH TONER (W1103A );YAZICI G.;VATAN BİLGİSAYAR;1,00;99,15;17,85;0,00;117,00;0,00;0,00;0,00
Beksan;24.03.2021;BTE2021000001206;MICROSOFT AZURE;YAZILIM LİSANS G.;BTE BİLGİSAYAR YAZ. DON.;1,00;370,16;66,63;0,00;436,79;0,00;0,00;0,00
Beksan;31.03.2021;A162021000812107;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;97,46;17,54;9,75;124,75;0,00;0,00;0,00
Beksan;31.03.2021;A162021000747456;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;229,10;41,24;22,91;293,25;0,00;0,00;0,00
Bekkiler;31.03.2021;A162021000859229;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;118,75;21,38;11,88;152,00;0,00;0,00;0,00
Bekkiler;31.03.2021;A162021000639710;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;117,38;21,13;11,74;150,25;0,00;0,00;0,00
Bekkiler;31.03.2021;VD62021033100841;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462752 (MART 2021)(GSM:25% SA:12% SI:57% TN:2% DO:6% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.03.2021;VD62021033100841;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662465109 (MART 2021)(SA:33% SI:67% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.03.2021;VD62021033100841;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662463513 (MART 2021)(GSM:31% SA:16% SI:46% TN:3% TO:1% DO:3% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.03.2021;VD62021033100841;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462751 (MART 2021)(GSM:32% SA:8% SI:48% TN:4% DO:9% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.03.2021;VD62021033100841;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662465108 (MART 2021)(GSM:54% SA:8% SI:31% DO:7% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.03.2021;VD62021033100841;KURULUM;SABIT HAT;TURKNET;1,00;75,42;13,58;0,00;89,00;0,00;0,00;0,00
Bekkiler;31.03.2021;VD62021033100841;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662460518 (MART 2021)(GSM:21% SA:11% SI:36% TN:1% TO:15% DO:15% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.03.2021;VD62021033100841;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662461426 (MART 2021)(SI:100% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.03.2021;VD62021033100841;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462755 (MART 2021)(SI:100% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.03.2021;VD62021033100841;İŞ FULL 35 - TAAHHÜTSÜZ - 2662465109 (NİSAN 2021);SABIT HAT;TURKNET;1,00;72,66;13,08;7,27;93,00;0,00;0,00;0,00
Bekkiler;31.03.2021;VD62021033100841;İŞ FULL 35 - TAAHHÜTSÜZ 27.03.2021-01.04.2021 2662465109;SABIT HAT;TURKNET;1,00;11,72;2,11;1,17;15,00;0,00;0,00;0,00
Bekkiler;31.03.2021;VD62021033100841;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462750 (MART 2021)(GSM:29% SA:8% SI:47% TN:1% TO:3% DO:12% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Beksan;31.03.2021;K012021000587275;TELEFON;SABIT HAT;TURKTELEKOM;1,00;505,58;91,00;50,56;647,14;0,00;0,00;0,00
Beksan;01.04.2021;BTE2021000001304;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;400,00;72,00;0,00;472,00;0,00;0,00;0,00
Bekkiler;01.04.2021;BTE2021000001315;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;450,00;81,00;0,00;531,00;0,00;0,00;0,00
Bekkiler;06.04.2021;BTE2021000001418;32GB TRUDDR4 MEMORY (2RX4, 1.2V) PC4-19200 CL17 2400MHZ LP RDIMM ;DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;2,00;1452,48;522,89;0,00;3427,85;8,16;178,00;64,08
Bekkiler;06.04.2021;BTE2021000001418;SAMSUNG PM883 960GB SATA SSD ENTERPRISE -KIZAK DAHİL  ;DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;4,00;1788,42;1287,66;0,00;8441,34;8,17;219,00;157,68
Bekkiler;06.04.2021;BTE2021000001418;WESTERN DIGITAL 3.5'' 2TB PURPLE 7/ 3.5'' 2TB PURPLE 7/24 GÜVENLİK ;DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;4,00;612,47;440,98;0,00;2890,87;8,17;75,00;54,00
Bekkiler;06.04.2021;BTE2021000001418;HP 2530-48G 48 PORT GIGABIT SWITCH ;DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;1,00;5879,74;1058,35;0,00;6938,09;8,17;720,00;129,60
Bekkiler;06.04.2021;BTE2021000001418;KURULUM VE YAPILANDIRMA BEDELİ ;DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;1,00;5716,41;1028,95;0,00;6745,36;8,17;700,00;126,00
Bekkiler;06.04.2021;BTE2021000001418;"SYNOLOGY NAS SERVER 4AD 3,5""DISK DESTEKLI STORAGE ";DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;1,00;4556,80;820,22;0,00;5377,02;8,17;558,00;100,44
Bekkiler;12.04.2021;BIL2021000000129;GİGASET A120 TELSİZ TELEFON;DONANIM G.;BİLSAM BÜRO MAKİNELERİ;1,00;180,00;32,40;0,00;212,40;0,00;0,00;0,00
Bekkiler;12.04.2021;BIL2021000000129;PATCH KABLO 2 METRE;DONANIM G.;BİLSAM BÜRO MAKİNELERİ;1,00;15,00;2,70;0,00;17,70;0,00;0,00;0,00
Bekkiler;12.04.2021;BIL2021000000129;1.5MT VGA KABLO;DONANIM G.;BİLSAM BÜRO MAKİNELERİ;5,00;15,00;13,50;0,00;88,50;0,00;0,00;0,00
Bekkiler;13.04.2021;VTN2021000124930;HP 103A 2500 SAYFA KAPASİTELİ SİYAH TONER (W1103A );YAZICI G.;VATAN BİLGİSAYAR;1,00;108,47;19,52;0,00;127,99;0,00;0,00;0,00
Beksan;22.04.2021;BTE2021000001571;MICROSOFT AZURE;YAZILIM LİSANS G.;BTE BİLGİSAYAR YAZ. DON.;1,00;386,04;69,49;0,00;455,53;0,00;0,00;0,00
Bekkiler;29.04.2021;BTE2021000001619;WATCHGUARD BASİC SECURİTY SUİTE RENEWAL/UPGRADE 3-YR FOR FİREBOX T55 ;DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;1,00;4665,04;839,71;0,00;5504,75;8,21;568,00;102,24
Bekkiler;29.04.2021;BTE2021000001619;ANNUAL MAİNTENANCE RENEWAL - VEEAM BACKUP ESSENTİALS STANDARD 2 SOCKET BUNDLE FOR VMWARE ;DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;1,00;1806,88;325,24;0,00;2132,12;8,21;220,00;39,60
Bekkiler;29.04.2021;BTE2021000001619;2 ADDİTİONAL YEARS OF BASİC MAİNTENANCE PREPAİD FOR VEEAM BACKUP ESSENTİALS STANDARD 2 SOCKET BUNDLE ;DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;1,00;3219,54;579,52;0,00;3799,05;8,21;392,00;70,56
Bekkiler;29.04.2021;BTE2021000001619;SUBS ONLY FOR VMWARE VSPHERE7 ESSKIT 3YR ;DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;1,00;1806,88;325,24;0,00;2132,12;8,21;220,00;39,60
Beksan;30.04.2021;A162021001132122;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;229,10;41,24;22,91;293,25;0,00;0,00;0,00
Beksan;30.04.2021;A162021001129237;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;105,27;18,95;10,53;134,75;0,00;0,00;0,00
Bekkiler;30.04.2021;A162021001026165;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;125,39;22,57;12,54;160,50;0,00;0,00;0,00
Bekkiler;30.04.2021;A162021000945073;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;118,75;21,38;11,88;152,00;0,00;0,00;0,00
Bekkiler;30.04.2021;VE52021043001136;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662461426 (NİSAN 2021)(SI:100% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;30.04.2021;VE52021043001136;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662465108 (NİSAN 2021)(GSM:24% SA:17% SI:46% TN:2% TO:2% DO:9% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;30.04.2021;VE52021043001136;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462752 (NİSAN 2021)(GSM:18% SA:7% SI:65% TN:2% DO:9% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;30.04.2021;VE52021043001136;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462751 (NİSAN 2021)(GSM:33% SA:11% SI:54% TN:1% DO:1% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;30.04.2021;VE52021043001136;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662460518 (NİSAN 2021)(GSM:24% SA:11% SI:49% TO:4% DO:13% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;30.04.2021;VE52021043001136;İŞ FULL 35 - TAAHHÜTSÜZ - 2662465109 (MAYIS 2021);SABIT HAT;TURKNET;1,00;72,66;13,08;7,27;93,00;0,00;0,00;0,00
Bekkiler;30.04.2021;VE52021043001136;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662463513 (NİSAN 2021)(GSM:21% SA:8% SI:53% TN:2% TO:2% DO:14% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;30.04.2021;VE52021043001136;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662465109 (NİSAN 2021);SABIT HAT;TURKNET;1,00;17,19;3,09;1,72;22,00;0,00;0,00;0,00
Bekkiler;30.04.2021;VE52021043001136;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462755 (NİSAN 2021);SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;30.04.2021;VE52021043001136;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462750 (NİSAN 2021)(GSM:23% SA:8% SI:64% DO:5% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Beksan;30.04.2021;K012021000778291;TELEFON;SABIT HAT;TURKTELEKOM;1,00;505,58;91,00;50,56;647,14;0,00;0,00;0,00
Beksan;03.05.2021;BTE2021000001673;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;400,00;72,00;0,00;472,00;0,00;0,00;0,00
Bekkiler;03.05.2021;BTE2021000001682;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;450,00;81,00;0,00;531,00;0,00;0,00;0,00
Beksan;21.05.2021;BTE2021000001858;MICROSOFT AZURE;YAZILIM LİSANS G.;BTE BİLGİSAYAR YAZ. DON.;1,00;396,73;71,41;0,00;468,14;0,00;0,00;0,00
Beksan;31.05.2021;A162021001250388;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;232,62;41,87;23,26;297,75;0,00;0,00;0,00
Beksan;31.05.2021;A162021001237483;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;105,27;18,95;10,53;134,75;0,00;0,00;0,00
Bekkiler;31.05.2021;A162021001458554;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;118,75;21,38;11,88;152,00;0,00;0,00;0,00
Bekkiler;31.05.2021;A162021001235378;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;125,20;22,54;12,52;160,25;0,00;0,00;0,00
Bekkiler;31.05.2021;VF62021053100587;İŞ FULL 35 - TAAHHÜTSÜZ - 2662465109 (HAZİRAN 2021);SABIT HAT;TURKNET;1,00;72,66;13,08;7,27;93,00;0,00;0,00;0,00
Bekkiler;31.05.2021;VF62021053100587;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662460518 (MAYIS 2021)(GSM:38% SA:21% SI:34% TN:1% DO:6% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.05.2021;VF62021053100587;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662461426 (MAYIS 2021)(SI:100% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.05.2021;VF62021053100587;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462750 (MAYIS 2021)(GSM:55% SA:12% SI:20% DO:14% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.05.2021;VF62021053100587;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462751 (MAYIS 2021)(GSM:60% SA:14% SI:19% TN:1% DO:5% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.05.2021;VF62021053100587;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462752 (MAYIS 2021)(GSM:54% SA:15% SI:28% DO:2% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.05.2021;VF62021053100587;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462755 (MAYIS 2021);SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.05.2021;VF62021053100587;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662463513 (MAYIS 2021)(GSM:44% SA:7% SI:46% TN:1% DO:3% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.05.2021;VF62021053100587;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662465108 (MAYIS 2021)(GSM:52% SA:8% SI:34% DO:6% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.05.2021;VF62021053100587;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662465109 (MAYIS 2021);SABIT HAT;TURKNET;1,00;17,19;3,09;1,72;22,00;0,00;0,00;0,00
Beksan;31.05.2021;K012021001035906;TELEFON;SABIT HAT;TURKTELEKOM;1,00;505,58;91,00;50,56;647,14;0,00;0,00;0,00
Beksan;01.06.2021;BTE2021000002007;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;400,00;72,00;0,00;472,00;0,00;0,00;0,00
Bekkiler;01.06.2021;BTE2021000002017;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;500,00;90,00;0,00;590,00;0,00;0,00;0,00
