Şirket;Tarih;Fatura no;Fatura içeriği;Gider sınıfı;Firma;Adet;Kur; Usd tutar ;Ücret
Bekkiler;28.02.2021;VC32021022802192;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462755 (Şubat 2021);SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;28.02.2021;VC32021022802192;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662465109 (Şubat 2021);SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;28.02.2021;VC32021022802192;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662465108 (Şubat 2021)(GSM:32% SA:11% SI:52% TN:2% DO:2% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;28.02.2021;VC32021022802192;İSKONTO;SABIT HAT;TURKNET;1,00;;;-₺34,47
Bekkiler;28.02.2021;VC32021022802192;KDV(%18);SABIT HAT;TURKNET;1,00;;;₺39,23
Bekkiler;28.02.2021;VC32021022802192;OIV(%10);SABIT HAT;TURKNET;1,00;;;₺21,80
Beksan;28.02.2021;K012021000280025;TELEFON;SABIT HAT;TURKTELEKOM;1,00;;;₺647,14
Beksan;01.03.2021;BTE2021000000898;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺472,00
Bekkiler;01.03.2021;BTE2021000000908;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺531,00
Bekkiler;09.03.2021;BIL2021000000074;KAREL TM145 TELEFON;DONANIM G.;BİLSAM BÜRO MAKİNELERİ;1,00;;;₺150,00
Bekkiler;11.03.2021;VTN2021000087357;HP 103A 2500 SAYFA KAPASİTELİ SİYAH TONER (W1103A );YAZICI G.;VATAN BİLGİSAYAR;1,00;;;₺117,00
Beksan;24.03.2021;BTE2021000001206;MICROSOFT AZURE;YAZILIM LİSANS G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺436,79
Beksan;31.03.2021;A162021000812107;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺124,75
Beksan;31.03.2021;A162021000747456;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺293,25
Bekkiler;31.03.2021;A162021000859229;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺152,00
Bekkiler;31.03.2021;A162021000639710;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺150,25
Bekkiler;31.03.2021;VD62021033100841;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462752 (Mart 2021)(GSM:25% SA:12% SI:57% TN:2% DO:6% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.03.2021;VD62021033100841;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662465109 (Mart 2021)(SA:33% SI:67% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.03.2021;VD62021033100841;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662463513 (Mart 2021)(GSM:31% SA:16% SI:46% TN:3% TO:1% DO:3% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.03.2021;VD62021033100841;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462751 (Mart 2021)(GSM:32% SA:8% SI:48% TN:4% DO:9% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.03.2021;VD62021033100841;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662465108 (Mart 2021)(GSM:54% SA:8% SI:31% DO:7% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.03.2021;VD62021033100841;Kurulum;SABIT HAT;TURKNET;1,00;;;₺75,42
Bekkiler;31.03.2021;VD62021033100841;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662460518 (Mart 2021)(GSM:21% SA:11% SI:36% TN:1% TO:15% DO:15% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.03.2021;VD62021033100841;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662461426 (Mart 2021)(SI:100% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.03.2021;VD62021033100841;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462755 (Mart 2021)(SI:100% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.03.2021;VD62021033100841;İŞ Full 35 - Taahhütsüz - 2662465109 (Nisan 2021);SABIT HAT;TURKNET;1,00;;;₺72,66
Bekkiler;31.03.2021;VD62021033100841;İŞ Full 35 - Taahhütsüz 27.03.2021-01.04.2021 2662465109;SABIT HAT;TURKNET;1,00;;;₺11,72
Bekkiler;31.03.2021;VD62021033100841;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462750 (Mart 2021)(GSM:29% SA:8% SI:47% TN:1% TO:3% DO:12% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.03.2021;VD62021033100841;KDV(%18);SABIT HAT;TURKNET;1,00;;;₺74,20
Bekkiler;31.03.2021;VD62021033100841;OIV(%10);SABIT HAT;TURKNET;1,00;;;₺33,68
Beksan;31.03.2021;K012021000587275;TELEFON;SABIT HAT;TURKTELEKOM;1,00;;;₺647,14
Beksan;01.04.2021;BTE2021000001304;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺472,00
Bekkiler;01.04.2021;BTE2021000001315;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺531,00
Bekkiler;06.04.2021;BTE2021000001418;32GB TRUDDR4 MEMORY (2RX4, 1.2V) PC4-19200 CL17 2400MHZ LP RDIMM (kur:8.16 --> 356$);DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;2,00;;;₺2.904,96
Bekkiler;06.04.2021;BTE2021000001418;SAMSUNG PM883 960GB SATA SSD ENTERPRISE -KIZAK DAHİL  (kur:8.16 --> 876$);DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;4,00;;;₺7.153,68
Bekkiler;06.04.2021;BTE2021000001418;WESTERN DIGITAL 3.5'' 2TB PURPLE 7/ 3.5'' 2TB PURPLE 7/24 GÜVENLİK (kur:8.16 --> 300$);DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;4,00;;;₺2.449,89
Bekkiler;06.04.2021;BTE2021000001418;HP 2530-48G 48 PORT GIGABIT SWITCH (kur:8.16 --> 720$);DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺5.879,74
Bekkiler;06.04.2021;BTE2021000001418;KURULUM VE YAPILANDIRMA BEDELİ (kur:8.16 --> 700$);DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺5.716,41
Bekkiler;06.04.2021;BTE2021000001418;"SYNOLOGY NAS SERVER 4AD 3,5""DISK DESTEKLI STORAGE (kur:8.16 --> 558$)";DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺4.556,80
Bekkiler;06.04.2021;BTE2021000001418; KDV ( % 18 ) (kur:8.16 --> 631.80$);DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺5.159,06
Bekkiler;12.04.2021;BIL2021000000129;GİGASET A120 TELSİZ TELEFON;DONANIM G.;BİLSAM BÜRO MAKİNELERİ;1,00;;;₺180,00
Bekkiler;12.04.2021;BIL2021000000129;PATCH KABLO 2 METRE;DONANIM G.;BİLSAM BÜRO MAKİNELERİ;1,00;;;₺15,00
Bekkiler;12.04.2021;BIL2021000000129;1.5MT VGA KABLO;DONANIM G.;BİLSAM BÜRO MAKİNELERİ;5,00;;;₺75,00
Bekkiler;12.04.2021;BIL2021000000129;KDV (% 18,00 );DONANIM G.;BİLSAM BÜRO MAKİNELERİ;1,00;;;₺48,60
Bekkiler;13.04.2021;VTN2021000124930;HP 103A 2500 SAYFA KAPASİTELİ SİYAH TONER (W1103A );YAZICI G.;VATAN BİLGİSAYAR;1,00;;;₺127,99
Beksan;22.04.2021;BTE2021000001571;MICROSOFT AZURE;YAZILIM LİSANS G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺455,33
Bekkiler;29.04.2021;BTE2021000001619;WATCHGUARD BASİC SECURİTY SUİTE RENEWAL/UPGRADE 3-YR FOR FİREBOX T55 (kur:8.21 --> 568$);DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺4.665,04
Bekkiler;29.04.2021;BTE2021000001619;ANNUAL MAİNTENANCE RENEWAL - VEEAM BACKUP ESSENTİALS STANDARD 2 SOCKET BUNDLE FOR VMWARE (kur:8.21 --> 220$);DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺1.806,88
Bekkiler;29.04.2021;BTE2021000001619;2 ADDİTİONAL YEARS OF BASİC MAİNTENANCE PREPAİD FOR VEEAM BACKUP ESSENTİALS STANDARD 2 SOCKET BUNDLE (kur:8.21 --> 392$);DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺3.219,54
Bekkiler;29.04.2021;BTE2021000001619;SUBS ONLY FOR VMWARE VSPHERE7 ESSKIT 3YR (kur:8.21 --> 220);DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺1.806,88
Bekkiler;29.04.2021;BTE2021000001619;KDV ( % 18 ) (kur:8.21 --> 252$);DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺2.069,70
Beksan;30.04.2021;A162021001132122;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺293,25
Beksan;30.04.2021;A162021001129237;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺134,75
Bekkiler;30.04.2021;A162021001026165;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺160,50
Bekkiler;30.04.2021;A162021000945073;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺152,00
Bekkiler;30.04.2021;VE52021043001136;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662461426 (Nisan 2021)(SI:100% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;30.04.2021;VE52021043001136;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662465108 (Nisan 2021)(GSM:24% SA:17% SI:46% TN:2% TO:2% DO:9% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;30.04.2021;VE52021043001136;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462752 (Nisan 2021)(GSM:18% SA:7% SI:65% TN:2% DO:9% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;30.04.2021;VE52021043001136;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462751 (Nisan 2021)(GSM:33% SA:11% SI:54% TN:1% DO:1% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;30.04.2021;VE52021043001136;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662460518 (Nisan 2021)(GSM:24% SA:11% SI:49% TO:4% DO:13% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;30.04.2021;VE52021043001136;İŞ Full 35 - Taahhütsüz - 2662465109 (Mayıs 2021);SABIT HAT;TURKNET;1,00;;;₺72,66
Bekkiler;30.04.2021;VE52021043001136;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662463513 (Nisan 2021)(GSM:21% SA:8% SI:53% TN:2% TO:2% DO:14% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;30.04.2021;VE52021043001136;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662465109 (Nisan 2021);SABIT HAT;TURKNET;1,00;;;₺17,19
Bekkiler;30.04.2021;VE52021043001136;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462755 (Nisan 2021);SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;30.04.2021;VE52021043001136;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462750 (Nisan 2021)(GSM:23% SA:8% SI:64% DO:5% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;30.04.2021;VE52021043001136;KDV(%18);SABIT HAT;TURKNET;1,00;;;₺56,56
Bekkiler;30.04.2021;VE52021043001136;OIV(%10);SABIT HAT;TURKNET;1,00;;;₺31,42
Beksan;30.04.2021;K012021000778291;TELEFON;SABIT HAT;TURKTELEKOM;1,00;;;₺647,14
Beksan;03.05.2021;BTE2021000001673;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺472,00
Bekkiler;03.05.2021;BTE2021000001682;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺531,00
Beksan;21.05.2021;BTE2021000001858;MICROSOFT AZURE;YAZILIM LİSANS G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺468,14
Beksan;31.05.2021;A162021001250388;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺297,75
Beksan;31.05.2021;A162021001237483;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺134,75
Bekkiler;31.05.2021;A162021001458554;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺152,00
Bekkiler;31.05.2021;A162021001235378;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺160,25
Bekkiler;31.05.2021;VF62021053100587;İŞ Full 35 - Taahhütsüz - 2662465109 (Haziran 2021);SABIT HAT;TURKNET;1,00;;;₺72,66
Bekkiler;31.05.2021;VF62021053100587;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662460518 (Mayıs 2021)(GSM:38% SA:21% SI:34% TN:1% DO:6% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.05.2021;VF62021053100587;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662461426 (Mayıs 2021)(SI:100% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.05.2021;VF62021053100587;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462750 (Mayıs 2021)(GSM:55% SA:12% SI:20% DO:14% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.05.2021;VF62021053100587;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462751 (Mayıs 2021)(GSM:60% SA:14% SI:19% TN:1% DO:5% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.05.2021;VF62021053100587;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462752 (Mayıs 2021)(GSM:54% SA:15% SI:28% DO:2% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.05.2021;VF62021053100587;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462755 (Mayıs 2021);SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.05.2021;VF62021053100587;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662463513 (Mayıs 2021)(GSM:44% SA:7% SI:46% TN:1% DO:3% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.05.2021;VF62021053100587;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662465108 (Mayıs 2021)(GSM:52% SA:8% SI:34% DO:6% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.05.2021;VF62021053100587;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662465109 (Mayıs 2021);SABIT HAT;TURKNET;1,00;;;₺17,19
Bekkiler;31.05.2021;VF62021053100587;KDV(%18);SABIT HAT;TURKNET;1,00;;;₺56,56
Bekkiler;31.05.2021;VF62021053100587;OIV(%10);SABIT HAT;TURKNET;1,00;;;₺31,42
Beksan;31.05.2021;K012021001035906;TELEFON;SABIT HAT;TURKTELEKOM;1,00;;;₺647,14
Beksan;01.06.2021;BTE2021000002007;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺472,00
Bekkiler;01.06.2021;BTE2021000002017;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺590,00
Bekkiler;21.06.2021;BTE2021000002237;SISTEM DESTEK HIZMET BEDELI (kur:8.69 --> 295$);SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺2.564,52
Bekkiler;29.06.2021;VTN2021000197287;HP 103A 2500 SAYFA KAPASİTELİ SİYAH TONER (W1103A );YAZICI G.;VATAN BİLGİSAYAR;1,00;;;₺130,00
Beksan;30.06.2021;A162021001747318;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺134,75
Beksan;30.06.2021;A162021001652921;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺297,75
Bekkiler;30.06.2021;A162021001749418;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺160,25
Bekkiler;30.06.2021;A162021001671895;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺152,00
Bekkiler;30.06.2021;VG52021063000814;İŞ Full 35 - Taahhütsüz - 2662465109 (Temmuz 2021);SABIT HAT;TURKNET;1,00;;;₺72,66
Bekkiler;30.06.2021;VG52021063000814;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662460518 (Haziran 2021)(GSM:28% SA:17% SI:42% TN:1% DO:11% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;30.06.2021;VG52021063000814;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662461426 (Haziran 2021);SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;30.06.2021;VG52021063000814;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462750 (Haziran 2021)(GSM:40% SA:14% SI:32% TO:1% DO:13% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;30.06.2021;VG52021063000814;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462751 (Haziran 2021)(GSM:29% SA:7% SI:57% TN:2% DO:6% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;30.06.2021;VG52021063000814;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462752 (Haziran 2021)(GSM:52% SA:10% SI:32% TN:3% TO:1% DO:4% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;30.06.2021;VG52021063000814;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462755 (Haziran 2021);SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;30.06.2021;VG52021063000814;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662463513 (Haziran 2021)(GSM:36% SA:13% SI:39% TN:1% DO:11% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;30.06.2021;VG52021063000814;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662465108 (Haziran 2021)(GSM:48% SA:5% SI:37% TO:3% DO:7% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;30.06.2021;VG52021063000814;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662465109 (Haziran 2021);SABIT HAT;TURKNET;1,00;;;₺17,19
Bekkiler;30.06.2021;VG52021063000814;KDV(%18);SABIT HAT;TURKNET;1,00;;;₺56,56
Bekkiler;30.06.2021;VG52021063000814;OIV(%10);SABIT HAT;TURKNET;1,00;;;₺31,42
Beksan;30.06.2021;C012021000017779;TELEFON;SABIT HAT;TURKTELEKOM;1,00;;;₺647,14
Beksan;01.07.2021;BTE2021000002392;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺472,00
